Data,Vendas
2020-07-23,934
2020-07-24,176
2020-07-25,500
2020-07-26,331
2020-07-27,186
2020-07-28,867
2020-07-29,122
2020-07-30,488
2020-07-31,813
2020-08-01,460
2020-08-02,190
2020-08-03,512
2020-08-04,373
2020-08-05,509
2020-08-06,233
2020-08-07,108
2020-08-08,362
2020-08-09,197
2020-08-10,328
2020-08-11,576
2020-08-12,586
2020-08-13,690
2020-08-14,902
2020-08-15,907
2020-08-16,315
2020-08-17,727
2020-08-18,659
2020-08-19,209
2020-08-20,393
2020-08-21,365
2020-08-22,926
2020-08-23,303
2020-08-24,861
2020-08-25,968
2020-08-26,417
2020-08-27,274
2020-08-28,541
2020-08-29,172
2020-08-30,188
2020-08-31,818
2020-09-01,706
2020-09-02,546
2020-09-03,676
2020-09-04,178
2020-09-05,177
2020-09-06,449
2020-09-07,501
2020-09-08,710
2020-09-09,750
2020-09-10,940
2020-09-11,146
2020-09-12,933
2020-09-13,364
2020-09-14,298
2020-09-15,491
2020-09-16,892
2020-09-17,972
2020-09-18,857
2020-09-19,209
2020-09-20,1000
2020-09-21,287
2020-09-22,972
2020-09-23,651
2020-09-24,654
2020-09-25,590
2020-09-26,154
2020-09-27,213
2020-09-28,462
2020-09-29,741
2020-09-30,183
2020-10-01,488
2020-10-02,855
2020-10-03,548
2020-10-04,704
2020-10-05,169
2020-10-06,137
2020-10-07,389
2020-10-08,195
2020-10-09,146
2020-10-10,863
2020-10-11,177
2020-10-12,978
2020-10-13,442
2020-10-14,253
2020-10-15,359
2020-10-16,641
2020-10-17,896
2020-10-18,490
2020-10-19,326
2020-10-20,880
2020-10-21,953
2020-10-22,158
2020-10-23,259
2020-10-24,566
2020-10-25,573
2020-10-26,593
2020-10-27,714
2020-10-28,329
2020-10-29,592
2020-10-30,304
2020-10-31,452
2020-11-01,284
2020-11-02,911
2020-11-03,858
2020-11-04,440
2020-11-05,116
2020-11-06,425
2020-11-07,933
2020-11-08,786
2020-11-09,717
2020-11-10,605
2020-11-11,943
2020-11-12,263
2020-11-13,696
2020-11-14,358
2020-11-15,606
2020-11-16,217
2020-11-17,446
2020-11-18,198
2020-11-19,604
2020-11-20,128
2020-11-21,715
2020-11-22,928
2020-11-23,439
2020-11-24,122
2020-11-25,455
2020-11-26,409
2020-11-27,927
2020-11-28,714
2020-11-29,297
2020-11-30,921
2020-12-01,669
2020-12-02,148
2020-12-03,497
2020-12-04,255
2020-12-05,142
2020-12-06,236
2020-12-07,221
2020-12-08,553
2020-12-09,586
2020-12-10,637
2020-12-11,459
2020-12-12,379
2020-12-13,970
2020-12-14,255
2020-12-15,672
2020-12-16,647
2020-12-17,176
2020-12-18,726
2020-12-19,505
2020-12-20,513
2020-12-21,933
2020-12-22,631
2020-12-23,480
2020-12-24,491
2020-12-25,901
2020-12-26,959
2020-12-27,932
2020-12-28,855
2020-12-29,325
2020-12-30,719
2020-12-31,339
2021-01-01,677
2021-01-02,203
2021-01-03,964
2021-01-04,350
2021-01-05,280
2021-01-06,713
2021-01-07,277
2021-01-08,138
2021-01-09,366
2021-01-10,700
2021-01-11,649
2021-01-12,576
2021-01-13,888
2021-01-14,582
2021-01-15,806
2021-01-16,415
2021-01-17,110
2021-01-18,743
2021-01-19,317
2021-01-20,651
2021-01-21,990
2021-01-22,624
2021-01-23,942
2021-01-24,268
2021-01-25,347
2021-01-26,949
2021-01-27,632
2021-01-28,917
2021-01-29,336
2021-01-30,628
2021-01-31,648
2021-02-01,759
2021-02-02,131
2021-02-03,742
2021-02-04,541
2021-02-05,290
2021-02-06,202
2021-02-07,568
2021-02-08,584
2021-02-09,896
2021-02-10,117
2021-02-11,216
2021-02-12,791
2021-02-13,899
2021-02-14,890
2021-02-15,258
2021-02-16,426
2021-02-17,938
2021-02-18,278
2021-02-19,468
2021-02-20,255
2021-02-21,717
2021-02-22,510
2021-02-23,968
2021-02-24,933
2021-02-25,254
2021-02-26,921
2021-02-27,853
2021-02-28,152
2021-03-01,642
2021-03-02,836
2021-03-03,568
2021-03-04,393
2021-03-05,695
2021-03-06,706
2021-03-07,677
2021-03-08,368
2021-03-09,522
2021-03-10,558
2021-03-11,648
2021-03-12,993
2021-03-13,982
2021-03-14,732
2021-03-15,645
2021-03-16,269
2021-03-17,866
2021-03-18,356
2021-03-19,917
2021-03-20,113
2021-03-21,927
2021-03-22,113
2021-03-23,534
2021-03-24,278
2021-03-25,508
2021-03-26,254
2021-03-27,946
2021-03-28,574
2021-03-29,539
2021-03-30,709
2021-03-31,556
2021-04-01,813
2021-04-02,487
2021-04-03,507
2021-04-04,932
2021-04-05,859
2021-04-06,313
2021-04-07,834
2021-04-08,741
2021-04-09,830
2021-04-10,294
2021-04-11,946
2021-04-12,258
2021-04-13,569
2021-04-14,477
2021-04-15,309
2021-04-16,106
2021-04-17,862
2021-04-18,616
2021-04-19,948
2021-04-20,731
2021-04-21,128
2021-04-22,872
2021-04-23,591
2021-04-24,227
2021-04-25,361
2021-04-26,680
2021-04-27,290
2021-04-28,508
2021-04-29,213
2021-04-30,761
2021-05-01,947
2021-05-02,683
2021-05-03,284
2021-05-04,890
2021-05-05,293
2021-05-06,783
2021-05-07,526
2021-05-08,904
2021-05-09,480
2021-05-10,468
2021-05-11,137
2021-05-12,940
2021-05-13,148
2021-05-14,912
2021-05-15,238
2021-05-16,549
2021-05-17,746
2021-05-18,615
2021-05-19,985
2021-05-20,818
2021-05-21,411
2021-05-22,713
2021-05-23,253
2021-05-24,329
2021-05-25,123
2021-05-26,513
2021-05-27,842
2021-05-28,829
2021-05-29,672
2021-05-30,456
2021-05-31,230
2021-06-01,792
2021-06-02,674
2021-06-03,404
2021-06-04,999
2021-06-05,305
2021-06-06,886
2021-06-07,147
2021-06-08,213
2021-06-09,721
2021-06-10,156
2021-06-11,781
2021-06-12,292
2021-06-13,595
2021-06-14,336
2021-06-15,271
2021-06-16,447
2021-06-17,147
2021-06-18,405
2021-06-19,685
2021-06-20,628
2021-06-21,713
2021-06-22,772
2021-06-23,709
2021-06-24,251
2021-06-25,520
2021-06-26,274
2021-06-27,685
2021-06-28,285
2021-06-29,853
2021-06-30,318
2021-07-01,663
2021-07-02,789
2021-07-03,897
2021-07-04,679
2021-07-05,215
2021-07-06,427
2021-07-07,173
2021-07-08,761
2021-07-09,956
2021-07-10,146
2021-07-11,225
2021-07-12,570
2021-07-13,661
2021-07-14,622
2021-07-15,965
2021-07-16,315
2021-07-17,284
2021-07-18,621
2021-07-19,991
2021-07-20,376
2021-07-21,668
2021-07-22,599
2021-07-23,898
2021-07-24,207
2021-07-25,917
2021-07-26,291
2021-07-27,305
2021-07-28,196
2021-07-29,401
2021-07-30,126
2021-07-31,871
2021-08-01,262
2021-08-02,467
2021-08-03,206
2021-08-04,319
2021-08-05,204
2021-08-06,606
2021-08-07,294
2021-08-08,161
2021-08-09,276
2021-08-10,138
2021-08-11,246
2021-08-12,793
2021-08-13,945
2021-08-14,771
2021-08-15,958
2021-08-16,649
2021-08-17,613
2021-08-18,187
2021-08-19,865
2021-08-20,791
2021-08-21,280
2021-08-22,665
2021-08-23,188
2021-08-24,827
2021-08-25,802
2021-08-26,661
2021-08-27,626
2021-08-28,329
2021-08-29,520
2021-08-30,586
2021-08-31,830
2021-09-01,122
2021-09-02,345
2021-09-03,697
2021-09-04,459
2021-09-05,661
2021-09-06,832
2021-09-07,245
2021-09-08,148
2021-09-09,861
2021-09-10,117
2021-09-11,802
2021-09-12,516
2021-09-13,992
2021-09-14,417
2021-09-15,107
2021-09-16,439
2021-09-17,767
2021-09-18,945
2021-09-19,591
2021-09-20,899
2021-09-21,575
2021-09-22,373
2021-09-23,416
2021-09-24,973
2021-09-25,208
2021-09-26,683
2021-09-27,446
2021-09-28,240
2021-09-29,963
2021-09-30,934
2021-10-01,449
2021-10-02,110
2021-10-03,328
2021-10-04,104
2021-10-05,301
2021-10-06,947
2021-10-07,721
2021-10-08,452
2021-10-09,520
2021-10-10,550
2021-10-11,347
2021-10-12,227
2021-10-13,308
2021-10-14,816
2021-10-15,827
2021-10-16,807
2021-10-17,651
2021-10-18,918
2021-10-19,573
2021-10-20,799
2021-10-21,644
2021-10-22,619
2021-10-23,471
2021-10-24,834
2021-10-25,924
2021-10-26,337
2021-10-27,298
2021-10-28,758
2021-10-29,796
2021-10-30,527
2021-10-31,390
2021-11-01,758
2021-11-02,186
2021-11-03,767
2021-11-04,244
2021-11-05,620
2021-11-06,802
2021-11-07,381
2021-11-08,962
2021-11-09,656
2021-11-10,184
2021-11-11,770
2021-11-12,746
2021-11-13,302
2021-11-14,756
2021-11-15,572
2021-11-16,540
2021-11-17,548
2021-11-18,978
2021-11-19,783
2021-11-20,399
2021-11-21,582
2021-11-22,320
2021-11-23,250
2021-11-24,750
2021-11-25,409
2021-11-26,496
2021-11-27,589
2021-11-28,260
2021-11-29,260
2021-11-30,457
2021-12-01,256
2021-12-02,341
2021-12-03,518
2021-12-04,451
2021-12-05,695
2021-12-06,983
2021-12-07,702
2021-12-08,320
2021-12-09,310
2021-12-10,800
2021-12-11,537
2021-12-12,329
2021-12-13,714
2021-12-14,967
2021-12-15,958
2021-12-16,254
2021-12-17,459
2021-12-18,689
2021-12-19,298
2021-12-20,215
2021-12-21,563
2021-12-22,682
2021-12-23,804
2021-12-24,690
2021-12-25,448
2021-12-26,641
2021-12-27,785
2021-12-28,538
2021-12-29,394
2021-12-30,568
2021-12-31,977
