Data;Pedido;Cliente;Tipo Cliente;SKU;Código Produto;Centro Custo;Produto;Fabricante;Qtde. Pedido;Preço;Custo
03/02/2015;SO - 000203;Uriel Group;Export;AXW291;STK-127;926263;Wood Finishing;Fullerton Corp;13;222,58;1146,55
04/02/2015;SO - 000204;OHTA'S Corp;Wholesale;GUT930;STK-141;420746;Stairway;Kinray Ltd;8;324,11;928,80
04/02/2015;SO - 000205;Victory Ltd;Wholesale;AXW291;STK-166;415254;Chair Rail;Cixi Group;10;485,81;2220,86
05/02/2015;SO - 000206;WakeFern ;Wholesale;GUT930;STK-125;926263;Staff;Lake Ltd;9;180,28;621,26
05/02/2015;SO - 000207;Sundial ;Wholesale;GUT930;STK-122;926263;Marble;Fullerton Corp;9;316,48;1329,22
05/02/2015;SO - 000208;Bare ;Distributor;AXW291;STK-159;417850;Glue-Laminate;Sun Ltd;8;648,44;1795,68
05/02/2015;SO - 000209;Trigen ;Wholesale;FLR025;STK-121;926263;Flooring Wide;Mylan Group;8;372,47;1510,85
06/02/2015;SO - 000210;S.S.S. Group;Wholesale;GUT930;STK-117;927300;Plaster & Gypsum Board;Allermed Group;12;324,05;1620,24
06/02/2015;SO - 000211;Select ;Wholesale;GUT930;STK-112;927300;Chipset Computers;ARM Company;11;691,76;2656,37
06/02/2015;SO - 000212;New Ltd;Distributor;AXW291;STK-101;920026;Elevator;McKesson Corp;14;448,76;3133,15
07/02/2015;SO - 000213;Ei ;Wholesale;AXW291;STK-159;417850;Glue-Laminate;Sun Ltd;9;648,44;2094,96
08/02/2015;SO - 000214;Capweld ;Wholesale;NXH382;STK-149;420746;Rough Carpentry;Lake Ltd;8;121,00;414,86
08/02/2015;SO - 000215;Sundial ;Distributor;AXW291;STK-143;420746;Plastics;Mylan Group;7;119,58;278,64
08/02/2015;SO - 000216;Wuxi Group;Distributor;NXH382;STK-129;926263;Furnishings;Macoven Group;7;305,93;985,56
09/02/2015;SO - 000217;Dharma Ltd;Distributor;GUT930;STK-145;420746;Building Safety;Apotex Corp;12;327,90;2084,64
09/02/2015;SO - 000218;Capweld ;Distributor;NXH382;STK-136;922457;Structural Steel;Cixi Group;7;309,58;794,64
09/02/2015;SO - 000219;Niconovum Corp;Export;AXW291;STK-163;415254;Millwork;Heritage ;10;256,97;1370,50
10/02/2015;SO - 000220;Uriel Group;Distributor;AXW291;STK-140;922457;Metal Fabrications;Kinray Ltd;12;303,67;1362,24
10/02/2015;SO - 000221;Procter Corp;Wholesale;AXW291;STK-117;927300;Plaster & Gypsum Board;Allermed Group;13;324,05;1782,26
10/02/2015;SO - 000222;OHTA'S Corp;Distributor;AXW291;STK-152;417850;Engineered Wood;Allermed Group;12;386,52;2631,60
10/02/2015;SO - 000223;Avon Corp;Export;AXW291;STK-129;926263;Furnishings;Macoven Group;13;305,93;2168,23
11/02/2015;SO - 000224;S.S.S. Group;Wholesale;AXW291;STK-153;417850;Stud, Joist, Rafter;Lake Ltd;13;486,42;2542,85
11/02/2015;SO - 000225;Burt's Corp;Wholesale;AXW291;STK-160;417850;Finish Carpentry;Major Corp;8;258,69;792,58
11/02/2015;SO - 000226;Bare ;Wholesale;GUT930;STK-138;922457;Wire Rope And Cables;Macoven Group;10;276,58;1106,30
12/02/2015;SO - 000227;Mylan Corp;Wholesale;GUT930;STK-116;927300;Switches;McKesson Corp;8;195,69;507,74
12/02/2015;SO - 000228;Weimei Corp;Distributor;GUT930;STK-165;415254;Trim, Molding;Allermed Group;7;156,52;469,56
12/02/2015;SO - 000229;E. Ltd;Export;NXH382;STK-150;420746;Heavy Timbers;Cixi Group;13;233,43;1600,63
12/02/2015;SO - 000230;Llorens Ltd;Wholesale;AXW291;STK-111;927300;Door Hardware;Apotex Corp;7;437,31;1166,16
12/02/2015;SO - 000231;Avon Corp;Export;AXW291;STK-115;927300;Electrical Wiring;Apotex Corp;10;398,42;1436,54
13/02/2015;SO - 000232;Mylan Corp;Wholesale;GUT930;STK-160;417850;Finish Carpentry;Major Corp;9;258,69;924,67
14/02/2015;SO - 000233;Wuxi Group;Wholesale;AXW291;STK-137;922457;Rebar;McKesson Corp;10;331,08;1461,31
14/02/2015;SO - 000234;21st Ltd;Distributor;AXW291;STK-111;927300;Door Hardware;Apotex Corp;7;437,31;1166,16
14/02/2015;SO - 000235;Elorac, Corp;Distributor;AXW291;STK-110;920026;Folding Doors;Lake Ltd;14;578,87;3145,54
15/02/2015;SO - 000236;Niconovum Corp;Export;NXH382;STK-137;922457;Rebar;McKesson Corp;13;331,08;2009,30
15/02/2015;SO - 000237;Pure Group;Wholesale;FLR025;STK-129;926263;Furnishings;Macoven Group;12;305,93;1971,12
16/02/2015;SO - 000238;PEDIFIX, Corp;Wholesale;GUT930;STK-102;920026;Escalator;Kinray Ltd;11;380,89;1913,33
16/02/2015;SO - 000239;Trigen ;Wholesale;AXW291;STK-112;927300;Chipset Computers;ARM Company;11;691,76;2656,37
16/02/2015;SO - 000240;Wuxi Group;Wholesale;NXH382;STK-154;417850;Treated Lumber;ALK-Abello, Corp;8;371,04;1207,44
17/02/2015;SO - 000241;Burt's Corp;Wholesale;AXW291;STK-166;415254;Chair Rail;Cixi Group;14;485,81;3331,30
17/02/2015;SO - 000242;Avon Corp;Wholesale;AXW291;STK-160;417850;Finish Carpentry;Major Corp;11;258,69;1188,86
17/02/2015;SO - 000243;Linde ;Wholesale;GUT930;STK-138;922457;Wire Rope And Cables;Macoven Group;14;276,58;1659,46
18/02/2015;SO - 000244;Weimei Corp;Distributor;AXW291;STK-112;927300;Chipset Computers;ARM Company;7;691,76;1475,76
19/02/2015;SO - 000245;Ole Group;Distributor;AXW291;STK-134;922457;Stone Dry Stacked;ALK-Abello, Corp;12;520,62;2992,80
19/02/2015;SO - 000246;Ohio ;Wholesale;AXW291;STK-131;922457;Artificial Stone;Heritage ;9;623,88;1914,36
19/02/2015;SO - 000247;WakeFern ;Wholesale;GUT930;STK-139;922457;Metal Joist, Decking;Accord Ltd;13;617,31;3360,19
19/02/2015;SO - 000248;Amylin Group;Wholesale;AXW291;STK-111;927300;Door Hardware;Apotex Corp;11;437,31;2099,09
19/02/2015;SO - 000249;Pure Group;Wholesale;FLR025;STK-150;420746;Heavy Timbers;Cixi Group;14;233,43;1746,14
19/02/2015;SO - 000250;S.S.S. Group;Wholesale;AXW291;STK-130;926263;Insulation Bricks;HSN Bricks;13;455,48;2531,50
20/02/2015;SO - 000251;Capweld ;Distributor;AXW291;STK-152;417850;Engineered Wood;Allermed Group;12;386,52;2631,60
20/02/2015;SO - 000252;Weimei Corp;Distributor;AXW291;STK-131;922457;Artificial Stone;Heritage ;11;623,88;2461,32
20/02/2015;SO - 000253;Exact-Rx, Corp;Wholesale;NXH382;STK-140;922457;Metal Fabrications;Kinray Ltd;8;303,67;817,34
20/02/2015;SO - 000254;O.E. Ltd;Wholesale;NXH382;STK-165;415254;Trim, Molding;Allermed Group;7;156,52;469,56
21/02/2015;SO - 000255;Medline ;Wholesale;AXW291;STK-122;926263;Marble;Fullerton Corp;14;316,48;2278,66
21/02/2015;SO - 000256;Burt's Corp;Wholesale;GUT930;STK-148;420746;Telecommunications Equipment;Major Corp;11;213,62;1003,10
21/02/2015;SO - 000257;Ascend Ltd;Wholesale;AXW291;STK-114;927300;Electrical Connector;Sun Ltd;12;313,29;1558,32
21/02/2015;SO - 000258;Burt's Corp;Wholesale;AXW291;STK-119;927300;Ceramic Tile;Heritage ;13;441,92;2417,98
21/02/2015;SO - 000259;Medline ;Wholesale;AXW291;STK-164;415254;Ornamental Woodwork;ALK-Abello, Corp;13;243,81;1191,96
22/02/2015;SO - 000260;AuroMedics Corp;Wholesale;AXW291;STK-121;926263;Flooring Wide;Mylan Group;9;372,47;1762,66
22/02/2015;SO - 000261;Ei ;Distributor;NXH382;STK-125;926263;Staff;Lake Ltd;14;180,28;1065,02
22/02/2015;SO - 000262;Qualitest ;Wholesale;AXW291;STK-167;415254;Casement;Lake Ltd;10;369,69;1568,64
22/02/2015;SO - 000263;Capweld ;Distributor;AXW291;STK-136;922457;Structural Steel;Cixi Group;11;309,58;1430,35
23/02/2015;SO - 000264;Exact-Rx, Corp;Distributor;GUT930;STK-147;420746;Specialties;Cixi Group;10;445,21;2072,26
24/02/2015;SO - 000265;3LAB, Ltd;Wholesale;AXW291;STK-100;920026;Concrete;McKesson Corp;12;124,49;619,20
24/02/2015;SO - 000266;Nipro ;Distributor;AXW291;STK-103;920026;Building Insulation;Accord Ltd;8;252,81;724,46
24/02/2015;SO - 000267;Apollo Ltd;Wholesale;AXW291;STK-145;420746;Building Safety;Apotex Corp;8;327,90;1250,78
24/02/2015;SO - 000268;New Ltd;Distributor;GUT930;STK-136;922457;Structural Steel;Cixi Group;12;309,58;1589,28
25/02/2015;SO - 000269;21st Ltd;Wholesale;AXW291;STK-102;920026;Escalator;Kinray Ltd;7;380,89;1062,96
25/02/2015;SO - 000270;Linde ;Wholesale;NXH382;STK-134;922457;Stone Dry Stacked;ALK-Abello, Corp;10;520,62;2394,24
26/02/2015;SO - 000271;Ei ;Wholesale;GUT930;STK-159;417850;Glue-Laminate;Sun Ltd;14;648,44;3591,36
26/02/2015;SO - 000272;Procter Corp;Wholesale;NXH382;STK-135;922457;Urbanite;Macoven Group;11;335,13;1996,92
27/02/2015;SO - 000273;Nipro ;Export;FLR025;STK-134;922457;Stone Dry Stacked;ALK-Abello, Corp;11;520,62;2693,52
27/02/2015;SO - 000274;Uriel Group;Distributor;AXW291;STK-106;920026;Damp (Structural);Mylan Group;9;222,04;975,24
27/02/2015;SO - 000275;Elorac, Corp;Distributor;GUT930;STK-127;926263;Wood Finishing;Fullerton Corp;12;222,58;1042,32
27/02/2015;SO - 000276;ETUDE Ltd;Export;AXW291;STK-114;927300;Electrical Connector;Sun Ltd;9;313,29;1090,82
28/02/2015;SO - 000277;Exact-Rx, Corp;Wholesale;GUT930;STK-155;417850;Sheathing;Allermed Group;13;551,56;2883,41
28/02/2015;SO - 000278;OHTA'S Corp;Export;AXW291;STK-126;926263;Stucco;Heritage ;14;438,19;2835,94
28/02/2015;SO - 000279;Qualitest ;Wholesale;FLR025;STK-113;927300;Circuit Breaker;Apotex Corp;14;347,66;2043,36
01/03/2015;SO - 000280;Select ;Wholesale;AXW291;STK-109;920026;Access;Major Corp;11;465,07;2071,22
01/03/2015;SO - 000281;O.E. Ltd;Export;FLR025;STK-125;926263;Staff;Lake Ltd;13;180,28;976,27
01/03/2015;SO - 000282;Ascend Ltd;Export;GUT930;STK-165;415254;Trim, Molding;Allermed Group;9;156,52;657,38
01/03/2015;SO - 000283;Niconovum Corp;Wholesale;AXW291;STK-101;920026;Elevator;McKesson Corp;14;448,76;3133,15
01/03/2015;SO - 000284;Eminence Corp;Distributor;AXW291;STK-117;927300;Plaster & Gypsum Board;Allermed Group;12;324,05;1620,24
01/03/2015;SO - 000285;Fenwal, Corp;Wholesale;GUT930;STK-126;926263;Stucco;Heritage ;14;438,19;2835,94
02/03/2015;SO - 000286;Fenwal, Corp;Wholesale;AXW291;STK-165;415254;Trim, Molding;Allermed Group;11;156,52;845,21
02/03/2015;SO - 000287;Select ;Distributor;FLR025;STK-100;920026;Concrete;McKesson Corp;11;124,49;557,28
02/03/2015;SO - 000288;Nipro ;Distributor;AXW291;STK-137;922457;Rebar;McKesson Corp;14;331,08;2191,97
03/03/2015;SO - 000289;Elorac, Corp;Wholesale;AXW291;STK-168;415254;Curtainwall;Accord Ltd;9;575,15;1740,98
03/03/2015;SO - 000290;Llorens Ltd;Distributor;AXW291;STK-160;417850;Finish Carpentry;Major Corp;8;258,69;792,58
03/03/2015;SO - 000291;Llorens Ltd;Export;GUT930;STK-119;927300;Ceramic Tile;Heritage ;8;441,92;1318,90
04/03/2015;SO - 000292;O.E. Ltd;Distributor;FLR025;STK-164;415254;Ornamental Woodwork;ALK-Abello, Corp;8;243,81;650,16
05/03/2015;SO - 000293;Dharma Ltd;Distributor;GUT930;STK-136;922457;Structural Steel;Cixi Group;10;309,58;1271,42
05/03/2015;SO - 000294;Apotheca, Ltd;Wholesale;AXW291;STK-135;922457;Urbanite;Macoven Group;10;335,13;1775,04
05/03/2015;SO - 000295;Linde ;Wholesale;NXH382;STK-165;415254;Trim, Molding;Allermed Group;12;156,52;939,12
05/03/2015;SO - 000296;Prasco Group;Wholesale;NXH382;STK-126;926263;Stucco;Heritage ;13;438,19;2599,61
05/03/2015;SO - 000297;Niconovum Corp;Wholesale;GUT930;STK-106;920026;Damp (Structural);Mylan Group;12;222,04;1393,20
05/03/2015;SO - 000298;Elorac, Corp;Distributor;NXH382;STK-121;926263;Flooring Wide;Mylan Group;10;372,47;2014,46
06/03/2015;SO - 000299;OHTA'S Corp;Wholesale;FLR025;STK-120;927300;Dropped Ceiling;Fullerton Corp;9;477,77;1957,70
06/03/2015;SO - 000300;OHTA'S Corp;Wholesale;AXW291;STK-123;926263;Wall Covering;Heritage ;13;251,38;1680,10
06/03/2015;SO - 000301;Winthrop ;Wholesale;GUT930;STK-131;922457;Artificial Stone;Heritage ;13;623,88;3008,28
06/03/2015;SO - 000302;Rochester Ltd;Distributor;AXW291;STK-155;417850;Sheathing;Allermed Group;8;551,56;1572,77
06/03/2015;SO - 000303;OHTA'S Corp;Wholesale;GUT930;STK-118;927300;Cement Render;Lake Ltd;8;157,93;513,94
06/03/2015;SO - 000304;Bare ;Wholesale;AXW291;STK-121;926263;Flooring Wide;Mylan Group;13;372,47;2769,89
06/03/2015;SO - 000305;Mylan Corp;Wholesale;AXW291;STK-106;920026;Damp (Structural);Mylan Group;13;222,04;1532,52
07/03/2015;SO - 000306;Apotheca, Ltd;Distributor;GUT930;STK-130;926263;Insulation Bricks;HSN Bricks;12;455,48;2301,36
07/03/2015;SO - 000307;Medsep Group;Wholesale;NXH382;STK-107;920026;Housewrap;Kinray Ltd;14;281,93;2303,42
07/03/2015;SO - 000308;Medline ;Distributor;GUT930;STK-159;417850;Glue-Laminate;Sun Ltd;13;648,44;3292,08
08/03/2015;SO - 000309;Weimei Corp;Export;AXW291;STK-132;922457;High Concrete;CP IV Ltd;13;334,39;1714,15
08/03/2015;SO - 000310;Victory Ltd;Export;GUT930;STK-136;922457;Structural Steel;Cixi Group;14;309,58;1907,14
